lid,year,x,y,event,trigger,area_ha
bg_0,0,279164.2,2429504.1,BG,BG,0
bg_1,0,205555.9,2504820.1,BG,BG,0
bg_2,0,298767.2,2677145.8,BG,BG,0
bg_3,0,330220.3,2453036.8,BG,BG,0
bg_4,0,235228.2,2431322.9,BG,BG,0
bg_5,0,194164.9,2612035.0,BG,BG,0
bg_6,0,155360.3,2495558.3,BG,BG,0
bg_7,0,281276.7,2627077.8,BG,BG,0
bg_8,0,194529.0,2643921.0,BG,BG,0
bg_9,0,313505.0,2422469.5,BG,BG,0
bg_10,0,312775.5,2685293.0,BG,BG,0
bg_11,0,218730.6,2479082.2,BG,BG,0
bg_12,0,343357.0,2547905.9,BG,BG,0
bg_13,0,168734.7,2456752.2,BG,BG,0
bg_14,0,321193.9,2649415.9,BG,BG,0
bg_15,0,313039.9,2697298.1,BG,BG,0
bg_16,0,258318.1,2789784.0,BG,BG,0
bg_17,0,226463.9,2629775.4,BG,BG,0
bg_18,0,317539.7,2655037.5,BG,BG,0
bg_19,0,324064.8,2639393.8,BG,BG,0
bg_20,0,292323.5,2437413.3,BG,BG,0
bg_21,0,196035.5,2529967.4,BG,BG,0
bg_22,0,166118.0,2508460.5,BG,BG,0
bg_23,0,170402.3,2525630.0,BG,BG,0
bg_24,0,278408.3,2558636.2,BG,BG,0
bg_25,0,224776.6,2499612.7,BG,BG,0
bg_26,0,203929.5,2775928.7,BG,BG,0
bg_27,0,280903.1,2651469.8,BG,BG,0
bg_28,0,184570.0,2697068.2,BG,BG,0
bg_29,0,183007.3,2564193.1,BG,BG,0
bg_30,0,349883.7,2663199.9,BG,BG,0
bg_31,0,262503.8,2680153.4,BG,BG,0
bg_32,0,320256.1,2714880.0,BG,BG,0
bg_33,0,196267.7,2432198.1,BG,BG,0
bg_34,0,213721.5,2521741.5,BG,BG,0
bg_35,0,192618.5,2778305.7,BG,BG,0
bg_36,0,327026.3,2539577.6,BG,BG,0
bg_37,0,282398.6,2570340.1,BG,BG,0
bg_38,0,334738.6,2594363.7,BG,BG,0
bg_39,0,203505.8,2513718.5,BG,BG,0
bg_40,0,263396.4,2519841.8,BG,BG,0
bg_41,0,268086.4,2761172.7,BG,BG,0
bg_42,0,230678.9,2503341.9,BG,BG,0
bg_43,0,351502.6,2613620.0,BG,BG,0
bg_44,0,168363.7,2437904.2,BG,BG,0
bg_45,0,172149.1,2658429.5,BG,BG,0
bg_46,0,310000.0,2580420.8,BG,BG,0
bg_47,0,162832.6,2565015.3,BG,BG,0
bg_48,0,351216.5,2621063.5,BG,BG,0
bg_49,0,346157.8,2747096.3,BG,BG,0
bg_50,0,152319.2,2693874.3,BG,BG,0
bg_51,0,287705.5,2624048.7,BG,BG,0
bg_52,0,203898.7,2663565.5,BG,BG,0
bg_53,0,172533.5,2585210.8,BG,BG,0
bg_54,0,241652.2,2782450.1,BG,BG,0
bg_55,0,326922.3,2520087.8,BG,BG,0
bg_56,0,251118.4,2487887.7,BG,BG,0
bg_57,0,334350.8,2750797.1,BG,BG,0
bg_58,0,210285.8,2662800.8,BG,BG,0
bg_59,0,273012.0,2478078.9,BG,BG,0
bg_60,0,304027.2,2624964.0,BG,BG,0
bg_61,0,307282.5,2621534.4,BG,BG,0
bg_62,0,150115.5,2543179.3,BG,BG,0
bg_63,0,153934.3,2773057.5,BG,BG,0
bg_64,0,327501.8,2736032.9,BG,BG,0
bg_65,0,212117.9,2442011.6,BG,BG,0
bg_66,0,327357.9,2779840.8,BG,BG,0
bg_67,0,167302.0,2604676.4,BG,BG,0
bg_68,0,163980.9,2709028.8,BG,BG,0
bg_69,0,304698.6,2468788.8,BG,BG,0
bg_70,0,246007.0,2628925.4,BG,BG,0
bg_71,0,203541.4,2751524.6,BG,BG,0
bg_72,0,235473.9,2500483.3,BG,BG,0
bg_73,0,258937.8,2697373.8,BG,BG,0
bg_74,0,190632.5,2538452.2,BG,BG,0
bg_75,0,351020.2,2666953.7,BG,BG,0
bg_76,0,238496.2,2616678.8,BG,BG,0
bg_77,0,174442.8,2505385.0,BG,BG,0
bg_78,0,218293.3,2643557.3,BG,BG,0
bg_79,0,196483.2,2503682.6,BG,BG,0
bg_80,0,164340.6,2659819.1,BG,BG,0
bg_81,0,196246.2,2764059.6,BG,BG,0
bg_82,0,323646.4,2446925.8,BG,BG,0
bg_83,0,198076.9,2674211.6,BG,BG,0
bg_84,0,193275.8,2470278.5,BG,BG,0
bg_85,0,338973.9,2636996.4,BG,BG,0
bg_86,0,245479.5,2718155.4,BG,BG,0
bg_87,0,313114.4,2492355.8,BG,BG,0
bg_88,0,169580.0,2583799.4,BG,BG,0
bg_89,0,235562.9,2597469.4,BG,BG,0
bg_90,0,297273.3,2675878.5,BG,BG,0
bg_91,0,348801.4,2457398.8,BG,BG,0
bg_92,0,231329.5,2548935.0,BG,BG,0
bg_93,0,324057.9,2514489.4,BG,BG,0
bg_94,0,188422.2,2590473.1,BG,BG,0
bg_95,0,235220.1,2525847.2,BG,BG,0
bg_96,0,200460.9,2770840.9,BG,BG,0
bg_97,0,239512.4,2747312.7,BG,BG,0
bg_98,0,261165.7,2439223.6,BG,BG,0
bg_99,0,351855.1,2737690.5,BG,BG,0
bg_100,0,345737.2,2772019.5,BG,BG,0
bg_101,0,321436.5,2483198.2,BG,BG,0
bg_102,0,248099.5,2501224.0,BG,BG,0
bg_103,0,231010.1,2442281.5,BG,BG,0
bg_104,0,226552.6,2794417.4,BG,BG,0
bg_105,0,203571.0,2717946.8,BG,BG,0
bg_106,0,241911.7,2580742.8,BG,BG,0
bg_107,0,343378.2,2798260.6,BG,BG,0
bg_108,0,262265.2,2692995.1,BG,BG,0
bg_109,0,181269.0,2532749.0,BG,BG,0
bg_110,0,345679.3,2640088.5,BG,BG,0
bg_111,0,259523.4,2704230.7,BG,BG,0
bg_112,0,161547.4,2641987.5,BG,BG,0
bg_113,0,251575.8,2744033.6,BG,BG,0
bg_114,0,181801.4,2785096.0,BG,BG,0
bg_115,0,166182.5,2490613.5,BG,BG,0
bg_116,0,270197.1,2676580.8,BG,BG,0
bg_117,0,197511.2,2465556.9,BG,BG,0
bg_118,0,329838.0,2513561.8,BG,BG,0
bg_119,0,270092.9,2655365.0,BG,BG,0
bg_120,0,234683.4,2641795.5,BG,BG,0
