lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2018_0,13564335.58623612,2818390.9092995957,case,地震,闊葉樹林型,50.639,0
2018_1,13562357.784664482,2811476.457756956,case,地震,闊葉樹林型,44.01,8
2018_2,13473335.469864927,2819242.603693048,case,其他,闊葉樹林型,50.106,0
2018_3,13473055.961264769,2818821.632514297,case,其他,闊葉樹林型,44.224,6
2018_4,13476117.216113271,2722119.9519986403,case,其他,__NONFOREST__,43.856,0
2018_5,13460897.651675245,2678214.2232817914,case,降雨,__NONFOREST__,33.946,0
2018_6,13506697.165767793,2703757.915127357,case,降雨,闊葉樹林型,45.924,7
2018_7,13436922.460307015,2529663.3448372744,case,降雨,闊葉樹林型,20.099,0
2018_8,13436841.929364134,2529672.295341387,case,降雨,闊葉樹林型,32.415,0
2018_9,13436640.79911396,2529403.825762034,case,降雨,闊葉樹林型,11.31,6
2018_10,13436749.867576886,2529555.043389181,case,降雨,闊葉樹林型,32.134,0
2018_11,13522325.10530242,2823031.798829657,case,降雨,闊葉樹林型,48.935,0
2018_12,13473547.988407038,2628583.59130064,case,降雨,闊葉樹林型,42.843,12
2018_13,13420618.919542467,2642765.1608180017,case,降雨,__NONFOREST__,30.679,0
2018_14,13426235.110500516,2651288.325106507,case,降雨,闊葉樹林型,40.02,12
2018_15,13439311.848195923,2651071.7468539937,case,降雨,闊葉樹林型,45.61,22
2018_16,13450514.381149303,2649943.3098680074,case,降雨,__NONFOREST__,40.573,0
2018_17,13434595.35299921,2658992.1120306384,case,降雨,闊葉樹林型,23.694,3
2018_18,13434076.762143629,2659021.569163949,case,降雨,闊葉樹林型,36.267,0
2018_19,13434143.795602642,2659166.669137528,case,降雨,__NONFOREST__,44.139,0
2018_20,13433919.241727889,2659288.918461377,case,降雨,__NONFOREST__,34.031,0
2018_21,13426653.931906177,2667448.917386569,case,降雨,竹闊混淆林,36.641,11
2018_22,13455682.25159626,2662475.521271714,case,降雨,__NONFOREST__,51.99,7
2018_23,13429109.898743208,2670013.225017918,case,降雨,待成林地,32.213,5
2018_24,13428705.126715103,2669843.461332465,case,降雨,闊葉樹林型,36.766,6
2018_25,13428659.983189585,2669299.631436886,case,降雨,竹闊混淆林,12.699,8
2018_26,13445417.607373023,2676900.936564778,case,降雨,闊葉樹林型,34.979,2
2018_27,13428571.92798954,2684006.010346393,case,降雨,闊葉樹林型,32.834,5
2018_28,13429458.500505025,2684199.532511012,case,降雨,__NONFOREST__,21.651,0
2018_29,13429189.064967629,2684298.4385005888,case,降雨,__NONFOREST__,27.214,0
2018_30,13429107.45461883,2684091.990714853,case,降雨,__NONFOREST__,18.373,2
2018_31,13444890.63093897,2530880.705775981,case,降雨,__NONFOREST__,3.078,0
2018_32,13451243.263335152,2538017.2468684264,case,降雨,闊葉樹林型,14.89,0
2018_33,13450365.104845423,2555349.546393109,case,降雨,闊葉樹林型,45.189,0
2018_34,13433241.383651763,2557055.703741486,case,降雨,闊葉樹林型,49.421,0
2018_35,13430712.96123304,2571588.757870616,case,降雨,闊葉樹林型,45.432,0
2018_36,13454399.0559274,2587443.671512902,case,降雨,__NONFOREST__,48.803,0
2018_37,13453918.956705963,2588979.584220438,case,降雨,闊葉樹林型,39.256,0
2018_38,13401948.695676468,2600852.489315164,case,降雨,闊葉樹林型,28.537,0
2018_39,13444067.953348543,2593517.7998517854,case,降雨,闊葉樹林型,44.979,0
