uid,NDVI,NDMI,NBR,n_obs,before
2018_52,,,,,2018-03-12
2018_53,,,,,2018-05-26
2018_55,,,,,2018-05-26
2018_57,,,,,2018-05-26
2018_58,,,,,2018-05-26
2018_59,,,,,2018-05-26
2018_60,,,,,2018-05-26
2018_61,,,,,2018-05-26
2018_62,,,,,2018-05-26
2018_35,,,,,2018-05-31
2018_39,-0.0003224117099307477,-0.0616855025291442,0.0281935930252075,2.0,2018-06-25
2018_6,,,,,2018-07-10
2018_45,0.8697851300239563,0.2840484976768493,0.5769956111907959,2.0,2018-07-10
2018_14,,,,,2018-07-25
2018_15,0.7576355338096619,0.2899855673313141,0.5525262355804443,2.0,2018-07-25
2018_17,,,,,2018-07-25
2018_18,0.7139353156089783,0.2409389764070511,0.5265794396400452,2.0,2018-07-25
2018_27,0.61455899477005,0.1331435143947601,0.4334745705127716,3.0,2018-07-25
2018_38,0.7284752130508423,0.2087635248899459,0.5001342296600342,2.0,2018-07-25
2018_46,0.9117054343223572,0.3583228290081024,0.654340922832489,2.0,2018-07-25
2018_7,0.739892840385437,0.1849394589662552,0.4757281541824341,1.0,2018-07-30
2018_8,0.8070253133773804,0.242243617773056,0.5364839434623718,1.0,2018-07-30
2018_9,0.8682900071144104,0.3242677748203277,0.6094072461128235,1.0,2018-07-30
2018_10,0.8257943987846375,0.2687362134456634,0.544592022895813,1.0,2018-07-30
2018_11,0.7565551996231079,0.2212744504213333,0.4680337607860565,1.0,2018-07-30
2018_12,,,,,2018-07-30
2018_24,,,,,2018-07-30
2018_26,0.7783191204071045,0.3169505894184112,0.5782716274261475,2.0,2018-07-30
2018_32,0.8493423461914062,0.3325145542621612,0.6454976201057434,3.0,2018-07-30
2018_33,0.579741358757019,0.116952359676361,0.3922127187252044,3.0,2018-07-30
2018_34,0.798309862613678,0.1705170720815658,0.4662379622459411,3.0,2018-07-30
2018_37,0.8709700107574463,0.2550705969333648,0.581626296043396,2.0,2018-07-30
2018_40,0.3148491382598877,0.0954989641904831,0.3297977149486542,2.0,2018-07-30
2018_41,,,,,2018-07-30
2018_47,0.8867924809455872,0.3180440366268158,0.613163411617279,1.0,2018-09-03
2018_64,,,,,2018-09-03
2018_65,,,,,2018-09-03
2018_66,,,,,2018-09-03
2018_67,,,,,2018-09-03
2018_68,,,,,2018-09-03
2018_69,,,,,2018-09-03
2018_70,,,,,2018-09-03
2018_72,0.895652174949646,0.361919641494751,0.6615278124809265,1.0,2018-09-03
2019_38,0.6763907670974731,0.1492223739624023,0.4561447501182556,13.0,2019-02-08
2019_52,0.6838207840919495,0.1413557380437851,0.421694278717041,9.0,2019-02-08
2019_37,0.6528782844543457,0.069136157631874,0.2952168583869934,14.0,2019-02-21
2019_40,0.760417640209198,0.200180098414421,0.4770376086235046,6.0,2019-02-21
2019_42,0.7782486081123352,0.2261009514331817,0.5286586284637451,8.0,2019-02-21
2019_49,0.7780898213386536,0.1587409526109695,0.4305908381938934,8.0,2019-02-21
2019_50,0.4470276534557342,-0.0994063019752502,0.1023432537913322,4.0,2019-02-21
2019_102,0.6860243082046509,0.0139956530183553,0.231547549366951,8.0,2019-03-27
2019_104,0.8139317631721497,0.2526417076587677,0.5357975363731384,7.0,2019-03-27
2019_105,0.7512690424919128,0.2951006293296814,0.5617926716804504,7.0,2019-03-27
2019_106,0.6919263601303101,0.1968923211097717,0.5152599811553955,8.0,2019-03-27
2019_96,0.7820001244544983,0.119849108159542,0.4153434336185455,16.0,2019-04-11
2019_54,0.6735188961029053,0.1600692719221115,0.4274484813213348,10.0,2019-04-26
2019_55,0.6477110981941223,0.2247347384691238,0.5034462809562683,10.0,2019-04-26
2019_60,0.6626213192939758,0.0529607944190502,0.3226820230484009,9.0,2019-04-26
2019_62,0.8016247749328613,0.328149676322937,0.6015464663505554,8.0,2019-04-26
2019_63,0.7591241002082825,0.145548328757286,0.3941048085689544,9.0,2019-04-26
2019_64,0.7520472407341003,0.2075713872909546,0.5123615264892578,10.0,2019-04-26
2019_65,0.7556147575378418,0.2620147466659546,0.5404902100563049,10.0,2019-04-26
2019_66,0.6437613368034363,0.1108435541391372,0.3377000093460083,10.0,2019-04-26
2019_67,0.582755982875824,0.1661341786384582,0.408220887184143,11.0,2019-04-26
2019_68,0.8136077523231506,0.220181718468666,0.4691987037658691,19.0,2019-04-26
2019_69,0.2320675253868103,0.0170336551964283,0.1552619189023971,9.0,2019-04-26
2019_73,0.8731692433357239,0.4180747866630554,0.6799979209899902,8.0,2019-04-26
2019_75,0.7342407703399658,0.1492102146148681,0.4784342050552368,22.0,2019-04-26
2019_81,0.7614306211471558,0.1812278032302856,0.4992273449897766,20.0,2019-04-26
2019_83,0.4686186015605926,-0.1109569296240806,0.0484261028468608,20.0,2019-04-26
2019_84,0.5967652797698975,0.1205020695924758,0.3272255361080169,20.0,2019-04-26
2019_85,0.7304013967514038,0.2116046994924545,0.4659891128540039,16.0,2019-04-26
2019_88,0.580047607421875,-0.04191829636693,0.1652731150388717,18.0,2019-04-26
2019_89,0.7432572245597839,0.2505240440368652,0.5101600885391235,20.0,2019-04-26
2019_90,0.8122634291648865,0.3381060361862182,0.6112210154533386,18.0,2019-04-26
2019_91,0.8368656635284424,0.2719816565513611,0.5723320841789246,22.0,2019-04-26
2019_92,0.8491933941841125,0.1556551456451416,0.4505982995033264,20.0,2019-04-26
2019_93,0.7740164399147034,0.0987195149064064,0.3755003213882446,22.0,2019-04-26
2019_95,0.53843092918396,0.1583349257707595,0.3996673226356506,20.0,2019-04-26
2019_99,0.7834942936897278,0.2675057053565979,0.577218234539032,4.0,2019-04-26
2019_100,0.670039176940918,0.2618299722671509,0.461489588022232,6.0,2019-04-26
2019_14,0.8623809218406677,0.3311018943786621,0.6251927018165588,6.0,2019-06-20
2019_15,0.7808125615119934,0.2701570093631744,0.5595067143440247,8.0,2019-06-20
2019_22,0.7309461832046509,0.2766943871974945,0.5600547790527344,2.0,2019-06-20
2019_0,0.8103258609771729,0.2264946550130844,0.5417356491088867,5.0,2019-07-15
