uid,NDVI,NDMI,NBR,n_obs,before
bg_12233,,,,,2018-03-12
bg_18248,,,,,2018-03-12
bg_23417,,,,,2018-03-12
bg_45587,,,,,2018-03-12
bg_4412,,,,,2018-05-26
bg_7696,,,,,2018-05-26
bg_8689,,,,,2018-05-26
bg_10969,,,,,2018-05-26
bg_11006,,,,,2018-05-26
bg_13250,,,,,2018-05-26
bg_13637,,,,,2018-05-26
bg_17753,,,,,2018-05-26
bg_18920,,,,,2018-05-26
bg_20184,,,,,2018-05-26
bg_20949,,,,,2018-05-26
bg_21721,,,,,2018-05-26
bg_25146,,,,,2018-05-26
bg_25533,,,,,2018-05-26
bg_30460,,,,,2018-05-26
bg_32424,,,,,2018-05-26
bg_36606,,,,,2018-05-26
bg_37879,,,,,2018-05-26
bg_38001,,,,,2018-05-26
bg_43281,,,,,2018-05-26
bg_43924,,,,,2018-05-26
bg_49585,,,,,2018-05-26
bg_49708,,,,,2018-05-26
bg_24598,,,,,2018-05-31
bg_44135,,,,,2018-05-31
bg_27575,0.8715658783912659,0.2226355820894241,0.5425230860710144,2.0,2018-06-25
bg_38157,,,,,2018-07-10
bg_77,0.8972087502479553,0.3033747673034668,0.6201874613761902,2.0,2018-07-25
bg_6233,0.7528827786445618,0.1584179401397705,0.4588069319725036,2.0,2018-07-25
bg_11985,0.5647113919258118,0.0861974209547042,0.3468104302883148,2.0,2018-07-25
bg_14501,0.8695636987686157,0.2239707559347152,0.5483763217926025,2.0,2018-07-25
bg_15165,,,,,2018-07-25
bg_15959,,,,,2018-07-25
bg_16408,0.8951718807220459,0.376503974199295,0.6438656449317932,2.0,2018-07-25
bg_19758,0.903401494026184,0.2999110221862793,0.6151030659675598,2.0,2018-07-25
bg_23454,0.6813287734985352,0.1708220541477203,0.4708566665649414,2.0,2018-07-25
bg_24260,,,,,2018-07-25
bg_24375,,,,,2018-07-25
bg_25729,0.4156050980091095,0.0158656165003776,0.2029016762971878,2.0,2018-07-25
bg_26338,0.7601863145828247,0.2441896945238113,0.5547046065330505,2.0,2018-07-25
bg_28643,0.8628144264221191,0.2303654849529266,0.5263768434524536,2.0,2018-07-25
bg_31907,0.8594550490379333,0.2809813320636749,0.5514201521873474,2.0,2018-07-25
bg_33308,,,,,2018-07-25
bg_37770,,,,,2018-07-25
bg_40573,,,,,2018-07-25
bg_47077,,,,,2018-07-25
bg_49162,0.7922068238258362,0.2678367495536804,0.5594728589057922,2.0,2018-07-25
bg_495,0.8512396812438965,0.347368448972702,0.6730906367301941,3.0,2018-07-30
bg_542,0.9061843752861024,0.38722825050354,0.6921483278274536,1.0,2018-07-30
bg_550,0.8676607608795166,0.3048998713493347,0.6060909628868103,3.0,2018-07-30
bg_1612,0.7546615600585938,0.2480862587690353,0.522917628288269,2.0,2018-07-30
bg_2332,0.8747107982635498,0.3861463963985443,0.6918671131134033,2.0,2018-07-30
bg_2471,0.8901322484016418,0.4075757563114166,0.7231625318527222,1.0,2018-07-30
bg_3443,0.8311722874641418,0.2278145551681518,0.5360397696495056,3.0,2018-07-30
bg_3581,,,,,2018-07-30
bg_4169,0.8795353770256042,0.3975071907043457,0.7238048315048218,2.0,2018-07-30
bg_4394,0.6743555068969727,0.2267926037311554,0.4707985818386078,1.0,2018-07-30
bg_4612,0.9253150820732116,0.3294354379177093,0.6447842717170715,2.0,2018-07-30
