bg_lid,before,dist_nearest_case_m
bg_2,2025-04-14,411.6839483148204
bg_11,2023-08-26,2554.914256036498
bg_15,2024-02-14,654.6626367832916
bg_24,2025-08-07,1790.2158023266416
bg_25,2024-02-14,1049.0993556379858
bg_32,2024-02-14,641.5907640389086
bg_37,2024-02-14,899.3539605737353
bg_42,2025-06-28,274.6071865409993
bg_51,2025-03-25,564.6710813382626
bg_60,2024-07-18,3056.2793045794374
bg_70,2024-02-14,910.1753327796243
bg_72,2023-07-07,564.6586562694033
bg_76,2023-07-14,304.57556467950997
bg_77,2018-07-25,16753.956482111884
bg_89,2023-07-14,2467.027694534208
bg_90,2024-02-14,440.9890612023169
bg_106,2024-07-18,1022.3962427552696
bg_111,2025-04-14,2815.3563270037675
bg_116,2021-07-14,1546.960206146511
bg_119,2023-07-07,182.16867925077364
bg_120,2025-03-25,4469.086494631742
bg_131,2024-07-03,1321.3980769627672
bg_132,2024-07-18,34.084380586643434
bg_144,2025-09-11,421.1496210375574
bg_154,2021-07-14,13636.871742170102
bg_157,2021-07-14,6428.870023915356
bg_158,2024-07-18,1782.0361339770895
bg_161,2021-07-14,5988.067427843216
bg_164,2021-07-14,12309.259282117762
bg_167,2021-07-14,20207.35403244077
bg_169,2025-03-25,820.4314109051843
bg_185,2021-07-14,1958.6829318957637
bg_186,2025-06-28,956.2245730477437
bg_187,2024-02-14,1415.8144995019848
bg_198,2024-07-18,2137.7523546942866
bg_199,2025-03-25,1645.8830774086105
bg_204,2025-03-25,971.6869187656339
bg_205,2021-09-22,1972.876485540791
bg_210,2024-07-18,432.72624140442923
bg_212,2024-09-11,403.4884357697606
bg_223,2023-07-14,427.73424050444214
bg_226,2024-09-11,1565.2303127977493
bg_228,2025-03-25,2362.428366109885
bg_235,2025-03-25,1023.1699483956985
bg_239,2024-02-14,495.49207269165777
bg_244,2023-07-03,310.2498517324329
bg_248,2024-09-01,984.1051206551836
bg_255,2025-04-14,2438.3190049090626
bg_257,2024-02-14,11276.037441885479
bg_261,2023-08-26,2134.508130788149
bg_267,2023-08-26,2970.791906175693
bg_270,2024-08-02,3104.6607354910134
bg_275,2024-02-14,330.4120149145774
bg_285,2024-02-14,2085.4987441854614
bg_289,2025-03-25,4879.543269046852
bg_301,2020-05-05,4646.341592651145
bg_307,2018-09-03,1016.5240507730512
bg_312,2019-07-15,3006.7356258241794
bg_314,2021-07-14,3456.9942073713737
bg_332,2024-07-18,4041.97523947117
bg_345,2024-02-14,3127.61790569117
bg_347,2021-07-09,4168.789534865004
bg_359,2025-04-14,835.0133977966885
bg_365,2024-07-18,3989.8152502214944
bg_367,2023-06-07,253.079036073706
bg_369,2021-07-09,337.6310449292187
bg_379,2025-03-25,5800.061822851281
bg_380,2025-03-25,150.23781314967303
bg_388,2024-09-11,25188.99965978201
bg_391,2023-07-14,1382.9610668777495
bg_394,2025-03-25,761.624641539386
bg_399,2025-03-25,4868.52451883511
bg_403,2025-03-25,1274.4122113742749
bg_405,2025-09-11,173.70414905792828
bg_409,2024-02-14,384.68076557075676
bg_411,2022-07-24,3126.4259043193156
bg_422,2021-07-14,17395.980999081305
bg_423,2024-07-18,443.58173147677815
bg_433,2021-07-09,693.3456111494057
bg_445,2025-04-14,1323.8498984779737
bg_447,2025-03-25,2713.4420286052255
bg_448,2024-09-11,243.402991970268
bg_471,2024-10-19,775.0532085608271
bg_472,2024-09-01,7167.729446547159
bg_480,2023-07-14,554.9735090072669
bg_481,2022-10-02,3973.442590361773
bg_486,2025-10-12,3235.9750179506977
bg_495,2018-07-30,929.1472995170715
bg_498,2025-03-25,906.5518130808721
bg_502,2025-04-14,213.8971259741357
bg_508,2025-03-25,37533.01767458085
bg_520,2025-03-25,4404.2297398069595
bg_521,2023-07-07,1229.5079830972902
bg_525,2021-07-14,11820.37471531227
bg_537,2022-07-24,3596.05942400857
bg_540,2023-07-14,536.2876334579666
bg_542,2018-07-30,2140.3418736733292
bg_544,2025-04-14,1463.589062032094
bg_549,2023-07-14,1694.0425344424777
bg_550,2018-07-30,9082.05351785584
bg_552,2025-03-25,11020.08837177365
bg_559,2024-07-18,2403.894335822778
bg_568,2025-04-14,528.7233232041295
bg_573,2025-03-25,1602.3477686508568
bg_577,2024-02-14,765.523513681977
bg_580,2025-06-28,1031.6366569679542
bg_581,2025-03-25,2387.584401796285
bg_586,2021-07-14,1419.9194805341442
bg_590,2024-08-22,7934.646948371502
bg_595,2025-04-14,1051.1391292307576
bg_601,2024-02-14,2236.3394970573904
bg_602,2024-07-08,1161.3399423941905
bg_603,2025-04-14,514.625922588543
bg_607,2024-02-14,4290.649866488757
bg_615,2023-06-07,49.03267685967792
bg_629,2024-07-18,1904.965240680226
bg_634,2024-07-18,7155.328970585583
bg_635,2024-02-14,1195.856679079731
bg_639,2024-04-29,517.8153428589345
bg_643,2025-10-12,20688.28291040143
bg_647,2024-07-18,5039.856653566299
bg_650,2024-07-18,1279.3171260482306
bg_651,2024-07-18,2266.131579586747
bg_653,2025-04-14,544.7655694885242
bg_660,2021-07-14,8277.957111654867
bg_661,2025-04-14,33300.66521835565
bg_664,2024-07-18,819.3029693584856
bg_666,2024-07-18,1373.7321919502167
bg_670,2024-09-11,826.3884426223282
bg_674,2025-09-21,190.21733490899146
bg_675,2025-04-14,3843.1428770867255
bg_685,2024-02-14,12040.180068175852
bg_689,2025-03-25,6388.057408915721
bg_691,2024-04-29,3295.3856365834013
bg_693,2024-07-18,13.589087533699725
bg_706,2025-04-14,3046.331725157234
bg_712,2025-04-14,2191.3848984146525
bg_716,2024-02-14,334.7633762823159
bg_717,2024-07-18,682.2430491402498
bg_719,2025-03-25,3761.990644658724
bg_721,2021-07-14,3528.2407759391754
bg_722,2019-07-15,4336.13724803546
bg_724,2025-06-28,170.06685538329344
bg_733,2024-07-18,1305.6458019690665
bg_737,2025-03-25,4844.430264179926
bg_739,2022-07-24,3213.438625584786
bg_742,2025-03-25,12141.204609576555
bg_754,2025-06-28,1086.3863692996802
bg_755,2023-07-03,544.8499023585133
bg_757,2025-03-25,11935.782288446788
bg_761,2023-07-14,1506.4984522395323
bg_773,2024-04-29,327.06356339408444
bg_780,2023-07-03,210.098246779789
bg_783,2021-07-14,2119.1765277341497
bg_786,2025-04-14,4036.318086226656
bg_788,2024-07-18,960.2057050965797
bg_802,2022-10-02,4780.279126002938
bg_807,2025-03-25,1447.128132301734
bg_808,2023-07-09,3302.8357054204084
bg_813,2024-07-18,1266.3962817775284
bg_816,2022-07-24,10813.76409382968
bg_833,2023-07-14,1715.4245795137247
bg_837,2025-03-25,642.4101599445474
bg_840,2020-05-05,2746.886915328097
bg_859,2024-07-18,1203.6434499053166
bg_876,2025-03-25,1065.2033667333415
bg_878,2025-04-14,409.6073750558802
bg_879,2024-07-18,500.68095480059486
bg_886,2025-06-28,1009.6610434200661
bg_887,2025-03-25,4190.331936505894
bg_889,2023-07-14,1179.4852702768471
bg_894,2025-06-28,2636.117612019519
bg_895,2023-07-07,583.4503057670713
bg_900,2023-07-09,707.5709336172082
bg_904,2022-10-02,33117.29160617584
bg_915,2024-07-18,2213.851650517734
bg_923,2023-07-07,1593.846763337157
bg_925,2025-06-28,1841.5065284980133
bg_929,2025-10-12,7339.691366181433
bg_933,2021-07-09,1111.3544882259573
bg_940,2019-04-26,524.3103642883242
bg_947,2025-04-14,1789.4114848464674
bg_955,2025-04-14,1685.7705730615444
bg_972,2025-04-14,1690.5591784081948
bg_974,2025-10-12,6964.243388107535
bg_979,2021-07-14,2371.042706005228
bg_982,2025-03-25,622.8178353258573
bg_984,2025-03-25,2659.9747761397666
bg_991,2019-04-26,3137.141398231841
bg_993,2024-07-18,1953.9789302085217
bg_998,2025-03-25,2479.5844356665234
bg_999,2025-06-28,133.67566495045745
bg_1001,2025-04-14,6888.115147484354
bg_1003,2025-10-12,7973.670115906529
bg_1004,2023-07-07,1185.0234534811902
bg_1008,2025-04-14,1295.7797892002548
bg_1030,2021-07-14,2007.3205314794711
bg_1031,2024-07-18,4287.576328253575
bg_1032,2021-07-14,780.3517530576817
bg_1045,2024-08-02,3434.6363525851684
bg_1050,2023-07-03,413.1993768146372
bg_1052,2025-10-12,1100.425457084684
bg_1057,2025-03-25,1506.8012320143423
bg_1064,2022-10-02,3881.34077187282
bg_1069,2021-05-15,934.2415585382929
bg_1072,2022-07-24,489.88786982324274
bg_1078,2025-03-25,5703.617935530067
bg_1079,2022-10-02,14509.15982696786
bg_1082,2025-10-12,11676.432941904779
bg_1095,2023-07-14,190.45539372755266
bg_1106,2024-02-14,790.7237652302514
bg_1111,2025-06-28,1414.2906464019782
bg_1122,2025-03-25,2908.2471783705137
bg_1123,2024-07-18,1689.8637811374283
bg_1131,2021-07-14,2699.309430391429
bg_1139,2025-04-14,2060.4359842033596
bg_1144,2025-03-25,2146.0257747753126
bg_1146,2024-02-14,1798.7521285602008
bg_1148,2024-08-22,4844.415593784319
bg_1149,2024-07-18,1448.9385847923252
bg_1156,2024-07-18,6472.568750797484
bg_1158,2023-06-07,746.5075823459354
bg_1160,2024-02-14,1860.5339324505665
bg_1175,2025-04-14,575.5503592215043
bg_1178,2024-07-18,639.12431404225
bg_1189,2023-07-07,284.8333267018918
bg_1191,2022-10-02,5041.756063367135
bg_1196,2023-07-09,1044.1786600481742
bg_1201,2025-03-25,12770.025336560575
bg_1214,2024-08-02,2484.6226503231946
