id,group,specification,OR_per_degree,CI_low,CI_high,p,stability,note,significant
A1,A,"published specification (centroid, unmatched)",1.0341,1.0123,1.0565,0.002091442618789685,A,,yes
A2,A,"event fixed effects, 5 km footprint",1.0315,1.0114,1.0521,0.002061457606008732,B,,yes
A3,A,"event FE, SE clustered by point",1.0315,1.0054,1.0583,0.01779188014730626,B,,yes
A4,A,"event FE, SE clustered by event",1.0315,1.0111,1.0523,0.0023469172325654153,B,,yes
A5,A,"event FE, each control used once (25 draws)",1.0366,1.0338,1.0391,0.0021192637725651053,C,"MC range, not a CI",yes
A6,A,footprint 2 km grid,1.0221,1.0003,1.0444,0.04730247039717517,B,,yes
A7,A,footprint 10 km grid,1.036,1.0163,1.0562,0.00031316291854976974,B,,yes
A8,A,footprint 20 km grid,1.037,1.0177,1.0567,0.00015204574144056515,B,,yes
A9,A,footprint 2 km buffer union,1.0222,1.0017,1.043,0.03348190551514518,B,,yes
A10,A,footprint 5 km buffer union,1.0355,1.0158,1.0557,0.00037917814658205984,B,,yes
A11,A,"new control pool, 5:1 (25 draws)",1.0271,1.0234,1.0335,0.0047576536136151315,C,"MC range, not a CI",yes
A12,A,"new control pool, 10:1 (25 draws)",1.0285,1.0255,1.0323,0.0015726085245537647,C,"MC range, not a CI",yes
A13,A,"new control pool, 20:1 (25 draws)",1.0289,1.0269,1.032,0.0010963242317960642,C,"MC range, not a CI",yes
A14,A,"conditional logit, event x 20 km block (exact, 10 draws)",1.0367,1.0322,1.0403,0.00020083504153523002,C,"MC range, not a CI",yes
A15,A,"conditional logit, event x 10 km block (exact, 10 draws)",1.0294,1.0238,1.0339,0.0017749952304135785,C,"MC range, not a CI",yes
A16,A,"conditional logit, event x 5 km block (exact, 10 draws)",1.0307,1.0266,1.0359,0.0012225608712934655,C,"MC range, not a CI",yes
B1,B,centroid (published),1.0341,1.0123,1.0565,0.002091442618789463,B,,yes
B2,B,highest cell (the rule section 2.3 describes),1.0215,1.001,1.0424,0.03981510326312376,B,,yes
B3,B,steepest cell,1.0341,1.0087,1.0602,0.008221839915279583,B,,yes
B4,B,lowest cell,1.0235,1.0036,1.0438,0.02066612548167046,B,,yes
B5,B,median cell,1.0193,0.9965,1.0425,0.0971959001975855,B,,no
B6,B,polygon-mean terrain,1.0136,0.9906,1.0371,0.24974920289895253,B,,no
B7,B,"source area, top 20% elevation",1.0201,0.9988,1.0419,0.0644665552568986,B,,no
B8,B,"all 20 m cells, SE clustered by polygon",1.0272,1.004,1.051,0.02149,B,,yes
B9,B,"all cells, polygon weight 1, SE clustered by polygon (approx.)",1.0283,1.0082,1.0487,0.00546,B,,yes
B10,B,random cell in polygon (200 draws),1.0278,1.0191,1.0368,,C,100% of draws above 1,MC
B11,B,"source point = highest DEM cell, full re-run",1.0288,1.0094,1.0485,0.003486378429172987,B,,yes
C1,C,exclude pre-2018 scar reactivations,1.0306,1.0083,1.0535,0.006995048609915955,A,,yes
C2,C,exclude <200 m from a debris-flow torrent,1.0352,1.012,1.059,0.002785943774566091,A,,yes
C3,C,exclude <500 m from a debris-flow torrent,1.0318,1.0074,1.0567,0.010199221464138875,A,,yes
C4,C,exclude <200 m from a national or provincial road,1.0369,1.0143,1.06,0.0012922608319074769,A,,yes
C5,C,exclude <200 m from a river polygon,1.0265,1.0025,1.051,0.03023793677972142,A,,yes
C6,C,exclude large-landslide potential areas,1.0335,1.0117,1.0558,0.0024882637230367877,A,,yes
