term,coefficient,se,z,p,odds_ratio,ci_low,ci_high,vif_uncentred,vif_slope_centred
Intercept,-3.401681,0.150917,-22.540145,0.0,0.033317,0.024786,0.044785,,
slope (deg),0.110242,0.008278,13.318014,0.0,1.116548,1.098579,1.134811,17.85,1.16
slope squared,-0.000809,0.00011,-7.369299,0.0,0.999191,0.998976,0.999406,17.2,1.06
northness,0.483388,0.025524,18.938412,0.0,1.62156,1.542433,1.704746,1.01,1.01
eastness,0.412945,0.026101,15.821205,0.0,1.511262,1.435894,1.590586,1.0,1.0
plan curvature,12.859153,1.257442,10.226442,0.0,384290.266563,32681.611926,4518718.639377,1.35,1.35
profile curvature,-4.425624,1.302592,-3.397552,0.00068,0.011967,0.000932,0.153732,1.36,1.36
elevation (m),3.8e-05,3.2e-05,1.172444,0.241019,1.000038,0.999975,1.000101,1.12,1.12
bamboo indicator,-1.581578,0.367326,-4.305647,1.7e-05,0.20565,0.100105,0.422478,8.08,1.49
bamboo indicator by slope interaction,0.033564,0.010908,3.07693,0.002091,1.034134,1.012258,1.056482,7.95,1.57
