inventory_event_label,window_start,window_end,cases,bamboo_cases,OR_per_degree_without_event,p_without_event
0613暨0619豪雨,2018-06-13,2018-06-20,,,,
0613暨0619豪雨暨瑪莉亞颱風,2018-06-13,2018-07-11,9,0,1.0342,0.002
瑪莉亞颱風,2018-07-09,2018-07-11,1,0,1.0341,0.0021
0823熱帶低壓,2018-08-22,2018-08-29,24,1,1.0348,0.0018
0909熱帶低壓,2018-09-07,2018-09-10,1,0,1.034,0.0022
0909熱帶低壓暨山竹颱風,2018-09-07,2018-09-16,8,0,1.0342,0.002
0428豪雨,2019-04-26,2019-04-29,4,0,1.0342,0.0021
0518及0611豪雨,2019-05-16,2019-06-14,27,1,1.0336,0.0025
丹娜絲颱風,2019-07-16,2019-07-19,2,0,1.0342,0.0021
利奇馬颱風,2019-08-07,2019-08-10,8,1,1.0338,0.0023
利奇馬颱風、0815豪雨、白鹿颱風,2019-08-07,2019-08-26,10,0,1.0342,0.0021
白鹿颱風,2019-08-23,2019-08-26,17,0,1.0342,0.0021
0521暨0528豪雨,2020-05-20,2020-05-29,9,0,1.0342,0.0021
彩雲颱風,2021-06-02,2021-06-06,10,0,1.0342,0.0021
0621豪雨,2021-06-19,2021-06-23,5,0,1.0342,0.0021
烟花颱風,2021-07-20,2021-07-25,7,2,1.0341,0.0022
0731豪雨暨盧碧颱風,2021-07-30,2021-08-09,173,6,1.0301,0.0071
璨樹颱風,2021-09-10,2021-09-13,1,0,1.0341,0.0021
圓規颱風暨1013豪雨,2021-10-09,2021-10-14,29,0,1.0343,0.002
軒嵐諾暨梅花颱風,2022-08-31,2022-09-14,8,2,1.0358,0.0014
1007豪雨、尼莎颱風暨1022豪雨,2022-10-05,2022-10-24,38,2,1.0343,0.0021
1030豪雨,2022-10-28,2022-11-01,3,0,1.0342,0.0021
杜蘇芮颱風,2023-07-24,2023-07-29,170,3,1.0354,0.0015
卡努颱風,2023-08-01,2023-08-06,803,9,1.0338,0.0025
海葵颱風,2023-09-01,2023-09-06,354,0,1.0354,0.0014
小犬颱風,2023-10-02,2023-10-07,20,0,1.0343,0.002
0629豪雨,2024-06-27,2024-07-02,122,0,1.0349,0.0016
凱米颱風,2024-07-22,2024-07-27,1293,50,1.0324,0.0096
山陀兒颱風,2024-09-28,2024-10-05,514,3,1.0335,0.003
1023豪雨,2024-10-21,2024-10-27,6,1,1.0356,0.0015
康芮颱風,2024-10-29,2024-11-02,623,1,1.0314,0.0051
1112豪雨,2024-11-10,2024-11-15,2,0,1.0342,0.0021
天兔颱風,2024-11-13,2024-11-17,2,0,1.0342,0.0021
0613豪雨,2025-06-11,2025-06-14,18,1,1.0366,0.0011
丹娜絲颱風、薇帕颱風、0721豪雨,2025-07-04,2025-07-23,71,6,1.0355,0.0018
0728豪雨,2025-07-26,2025-08-03,992,76,1.0245,0.0684
楊柳颱風,2025-08-11,2025-08-15,40,0,1.0343,0.002
樺加沙颱風,2025-09-20,2025-09-25,469,3,1.0368,0.001
1020豪雨,2025-10-17,2025-10-23,8,3,1.0388,0.0007
鳳凰颱風,2025-11-09,2025-11-14,14,0,1.0341,0.0021
