case,ft,slope,north,east,planc,profc,elev,slope2,lid,year,x,y,event,area_ha,kind,key,bg_lid,MajorTreeI,SlaveTreeI,form
1.0,竹闊混淆林,36.00673320377918,-0.7568230077691598,0.6536198703460921,-0.0020502958579881,0.0004497041420118,608.0,1296.484836008134,2018_21,2018.0,210483.59,2576742.98,0823熱帶低壓,1.18296994212,case,2018_21,,B600,C800,B600
1.0,竹闊混淆林,17.183330483447964,-0.970142500145332,-0.2425356250363331,-0.0014705882352941,-0.0039705882352941,273.0,295.26684650339206,2018_25,2018.0,212331.25,2578429.09,0823熱帶低壓,0.12617417716,case,2018_25,,B600,C800,B600
1.0,竹林,24.65223572323068,0.490261239632559,0.8715755371245493,-0.0157121661721068,0.0067878338278931,249.0,607.7327261537309,2018_45,2018.0,211479.2,2534965.99,0823熱帶低壓,0.53248259141,case,2018_45,,C700,-1,叢生狀竹(clumping)
1.0,竹林,37.90505895833579,0.0963241948601903,0.9953500135553,-0.0174265463917525,0.0225734536082474,844.0,1436.7934946349126,2019_13,2019.0,281895.43,2727704.03,利奇馬颱風,0.13,case,2019_13,,C800,A118,單桿狀竹(running)
1.0,竹林,47.03134321771491,0.8849182223819824,-0.4657464328326223,0.009175704989154,-0.0058242950108459,850.0,2211.9472448624983,2019_91,2019.0,225324.7,2562784.45,0518及0611豪雨,0.2,case,2019_91,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,55.43156679994039,-0.1894862647011275,-0.9818833716331152,0.0059781157270029,0.0009781157270029,538.0,3072.658597896254,2020_8,2020.0,214439.27,2607140.22,0521暨0528豪雨,0.21,case,2020_8,,B600,C800,B600
1.0,竹闊混淆林,24.094842552110705,0.447213595499958,-0.8944271909999159,0.0225,-0.0325,1247.0,580.5614376110047,2020_9,2020.0,238135.94,2605624.76,0521暨0528豪雨,0.38,case,2020_9,,B600,C700,B600
1.0,竹闊混淆林,24.52281262777141,-0.9863939238321436,0.1643989873053574,0.0005405405405405,-0.0069594594594594,299.0,601.3683391767848,2020_18,2020.0,208939.07,2573921.98,0521暨0528豪雨,0.1,case,2020_18,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,45.08034632153942,-0.0747899482416342,-0.9971993098884564,0.018716594157862,0.016216594157862,633.0,2032.237624469933,2021_2,2021.0,221005.72,2618346.41,彩雲颱風,0.31,case,2021_2,,B600,C700,B600
1.0,竹闊混淆林,55.879339657330505,-0.9824865243069562,-0.1863336511616643,0.0012847919655667,-0.0412152080344332,345.0,3122.5006005393097,2021_4,2021.0,214596.19,2612517.16,彩雲颱風,0.32,case,2021_4,,B600,C700,B600
1.0,竹闊混淆林,30.36043784504823,-0.6401843996644799,-0.7682212795973757,-0.0074180327868852,0.0050819672131147,893.0,921.7561861430368,2021_7,2021.0,220427.76,2585048.96,彩雲颱風,0.12,case,2021_7,,B600,C700,B600
1.0,竹闊混淆林,32.51251731617002,0.7452413135250993,-0.6667948594698258,0.018351923076923,-0.0016480769230769,597.0,1057.0637822342553,2021_21,2021.0,214105.12,2570091.11,0621豪雨,0.17,case,2021_21,,B600,C700,B600
1.0,竹林,38.28695056949238,0.9817798505902814,-0.1900219065658609,-0.0053761283851554,0.0021238716148445,695.0,1465.890583910753,2021_34,2021.0,277074.03,2733950.0,烟花颱風,1.2,case,2021_34,,C800,-1,單桿狀竹(running)
1.0,竹林,28.810793742973065,1.0,0.0,0.005,-0.01,421.0,830.0618361001359,2021_36,2021.0,311988.88,2760653.4,烟花颱風,0.2,case,2021_36,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,36.62354905164433,0.6726727939963124,0.7399400733959437,-0.0053733031674208,-0.0003733031674208,312.0,1341.2843451381984,2021_44,2021.0,198656.37,2570402.05,0731豪雨暨盧碧颱風,0.13,case,2021_44,,B600,C700,B600
1.0,竹林,52.22487918661721,0.5812381937190964,0.813733471206735,0.0001013513513513,-0.0198986486486486,762.0,2727.4380060567632,2021_61,2021.0,224642.61,2608489.35,0731豪雨暨盧碧颱風,0.29,case,2021_61,,C800,,單桿狀竹(running)
1.0,竹林,47.07775513424629,0.9997296931968458,-0.0232495277487638,0.0626844594594594,-0.0273155405405405,727.0,2216.3150284800527,2021_76,2021.0,213943.56,2585256.86,0731豪雨暨盧碧颱風,0.17,case,2021_76,,C800,B600,單桿狀竹(running)
