case,ft,slope,north,east,planc,profc,elev,slope2,lid,year,x,y,event,area_ha,old_scar,d_debris,d_road,d_river,in_largels,twi,litho,soc,ph,clay,litho_name,kind,bg_lid
1,闊葉樹林型,48.13976949528136,-0.2687989678139453,0.9631963013333044,0.0043276467636728,-0.0331723532363271,576.0,2317.437407058822,2018_6,2018.0,283958.0,2609868.15,瑪莉亞颱風,2.14822034061,False,1355.164324171669,5116.089759193869,361.4290152660423,False,6.882372234600317,10.0,9.0,59.0,27.0,metamorphics,case,
1,闊葉樹林型,23.893396656492648,-0.9593655015712704,0.2821663239915504,0.0709872611464968,-0.0040127388535031,140.0,570.894403784494,2018_7,2018.0,219668.7,2450304.35,0823熱帶低壓,0.09627550579,False,1.2835735980697034,528.6303099727188,653.7118720461744,False,8.609256615737543,13.0,6.0,49.0,29.0,siliciclastic sedimentary,case,
1,闊葉樹林型,35.28126182726603,-0.5299989400031799,0.847998304005088,-0.0021348314606741,-0.0246348314606741,133.0,1244.767436124099,2018_8,2018.0,219594.1,2450312.74,0823熱帶低壓,0.06120915029,False,6.541262141511146,456.7931999281873,606.936360999659,False,7.307323744248988,13.0,6.0,49.0,29.0,siliciclastic sedimentary,case,
1,闊葉樹林型,14.103462835639398,-0.9950371902099892,-0.0995037190209988,0.0114851485148514,-0.0110148514851485,51.0,198.9076639562617,2018_9,2018.0,219407.26,2450065.78,0823熱帶低壓,0.03983710727,False,15.834044910403344,232.36262429714583,620.9666353319781,False,8.588564962617522,13.0,7.0,50.0,27.0,siliciclastic sedimentary,case,
1,闊葉樹林型,30.985684296843363,-0.999133073092352,0.0416305447121811,-0.0120883882149046,0.0154116117850953,109.0,960.1126313436454,2018_10,2018.0,219508.59,2450204.89,0823熱帶低壓,0.56150404417,False,37.34628145945506,353.11798397809685,670.5406697781694,False,7.307323744248988,13.0,6.0,49.0,29.0,siliciclastic sedimentary,case,
1,闊葉樹林型,49.05111016553776,-0.9761870601839528,0.2169304578186562,-0.0019705882352941,0.0005294117647058,473.0,2406.0114084717216,2018_11,2018.0,297921.23,2718243.83,0823熱帶低壓,0.29639310066,False,1202.6309234918374,13.384404803751073,221.0782266003214,False,6.818737572282338,13.0,6.0,52.0,27.0,siliciclastic sedimentary,case,
1,闊葉樹林型,41.59751679121417,0.8448190755542285,-0.5350520811843448,-0.0099107850911974,0.0075892149088025,1231.0,1730.3534031953448,2018_12,2018.0,253582.62,2541137.91,0823熱帶低壓,29.6053801451,False,2248.509465219023,9755.625009847256,3098.772784458365,False,6.219353960198373,10.0,14.0,50.0,27.0,metamorphics,case,
1,闊葉樹林型,39.84215955425675,-0.9887155042247666,-0.1498053794279949,-0.0082013016157989,-0.0032013016157989,658.0,1587.3976779468526,2018_14,2018.0,210059.07,2561970.72,0823熱帶低壓,8.77345268226,False,2118.4134454534283,2363.178143624881,1553.87755492557,False,6.5938468326680075,13.0,9.0,52.0,29.0,siliciclastic sedimentary,case,
1,闊葉樹林型,46.53438273346463,-0.5923904504775179,-0.8056510126494246,-0.0045353733857383,0.0079646266142616,907.0,2165.4487763845714,2018_15,2018.0,222086.82,2561745.28,0823熱帶低壓,2.18048614686,False,3407.797230258886,2226.666054042675,2350.0093670603114,False,8.987607525972685,13.0,11.0,53.0,30.0,siliciclastic sedimentary,case,
1,闊葉樹林型,24.52281262777141,0.9863939238321436,-0.1643989873053572,-0.0030405405405405,-0.0005405405405405,616.0,601.3683391767848,2018_17,2018.0,217764.17,2568996.34,0823熱帶低壓,6.92351373742,False,1050.1120332150094,879.9339443249534,305.07628191255725,False,8.975810016943882,13.0,6.0,51.0,33.0,siliciclastic sedimentary,case,
1,闊葉樹林型,36.51456867399333,0.9792604195071029,-0.2026056040359523,0.017588369441277,8.836944127708132e-05,819.0,1333.3137254477751,2018_18,2018.0,217287.45,2569024.31,0823熱帶低壓,0.45870670144,False,1518.7303418621966,1214.1993125836498,774.3335870824645,False,6.903766898252987,13.0,5.0,51.0,32.0,siliciclastic sedimentary,case,
1,竹闊混淆林,36.00673320377918,-0.7568230077691598,0.6536198703460921,-0.0020502958579881,0.0004497041420118,608.0,1296.484836008134,2018_21,2018.0,210483.59,2576742.98,0823熱帶低壓,1.18296994212,False,57.76829347566482,1393.3350423851618,748.104396630674,False,6.141421056299922,13.0,9.0,55.0,31.0,siliciclastic sedimentary,case,
1,待成林地,38.67344937613533,-0.0312347523777212,0.9995120760870788,0.078170731707317,-0.0043292682926829,514.0,1495.635686648502,2018_23,2018.0,212746.27,2579079.97,0823熱帶低壓,1.47081240356,False,2645.75618074406,832.3756819401511,971.2001099508952,False,6.894989658946675,13.0,7.0,50.0,31.0,siliciclastic sedimentary,case,
1,闊葉樹林型,38.903551214305885,-0.2788101948639555,0.960346226753624,0.0025,-0.0025,470.0,1513.486297084121,2018_24,2018.0,212373.99,2578925.82,0823熱帶低壓,0.10166424075,False,2245.834213925694,471.27689877350366,660.0805707230243,False,6.918970922544817,13.0,7.0,49.0,31.0,siliciclastic sedimentary,case,
1,竹闊混淆林,17.183330483447964,-0.970142500145332,-0.2425356250363331,-0.0014705882352941,-0.0039705882352941,273.0,295.26684650339206,2018_25,2018.0,212331.25,2578429.09,0823熱帶低壓,0.12617417716,False,2129.257543740976,80.19704410976455,290.9783696328756,False,9.628460650047744,13.0,7.0,51.0,28.0,siliciclastic sedimentary,case,
1,闊葉樹林型,35.29811642184922,-0.7415357791237712,0.6709133239691262,-0.0025,0.0025,1436.0,1245.9570229304218,2018_26,2018.0,227738.44,2585340.82,0823熱帶低壓,1.52588585881,False,5987.150192908129,11237.635704049686,1790.1033538568806,False,6.693165572369446,13.0,11.0,53.0,30.0,siliciclastic sedimentary,case,
1,闊葉樹林型,33.197229942878394,-0.7259526839058267,-0.687744647910783,0.0043941605839416,-0.0081058394160583,524.0,1102.0560758803415,2018_27,2018.0,212284.66,2591859.03,0823熱帶低壓,5.50094352105,False,698.8610503104558,519.9116716860543,230.1771224862364,False,7.1109330009536444,13.0,7.0,54.0,32.0,siliciclastic sedimentary,case,
