year,event,n,before_min,before_med,before_max,after_min,after_med,after_max,trigger
2018,0206花蓮地震,5,20171018.0,20171018.0,20171117.0,20180210.0,20180219.0,20180219.0,
2018,0613暨0619豪雨,1,20180531.0,20180531.0,20180531.0,20180625.0,20180625.0,20180625.0,
2018,0613暨0619豪雨暨瑪莉亞颱風,12,20180312.0,20180526.0,20180526.0,20180730.0,20180730.0,20180730.0,
2018,0823熱帶低壓,40,20180531.0,20180730.0,20180730.0,20180903.0,20180903.0,20180903.0,
2018,0909熱帶低壓,1,20180903.0,20180903.0,20180903.0,20180913.0,20180913.0,20180913.0,
2018,0909熱帶低壓暨山竹颱風,10,20180903.0,20180903.0,20180903.0,20181003.0,20181003.0,20181003.0,
2018,丹大溪堰塞湖,1,20170923.0,20170923.0,20170923.0,20180411.0,20180411.0,20180411.0,
2018,瑪莉亞颱風,1,20180710.0,20180710.0,20180710.0,20180730.0,20180730.0,20180730.0,
2018,鹿場堰塞湖,2,20180322.0,20180322.0,20180322.0,20180411.0,20180411.0,20180411.0,
2019,0418地震,28,20181202.0,20190302.0,20190406.0,20190426.0,20190514.0,20190620.0,
2019,0428豪雨,5,20190327.0,20190327.0,20190327.0,20190710.0,20190710.0,20190710.0,
2019,0518及0611豪雨,45,20190411.0,20190426.0,20190426.0,20190615.0,20190620.0,20190715.0,
2019,0627高雄茂林山崩,2,20190207.0,20190316.5,20190426.0,20190620.0,20190667.0,20190714.0,
2019,0808地震、利奇馬颱風、白鹿颱風,3,20190715.0,20190715.0,20190715.0,20190913.0,20190913.0,20190913.0,
2019,丹娜絲颱風,2,20190715.0,20190715.0,20190715.0,20190730.0,20190730.0,20190730.0,
2019,利奇馬颱風,8,20190620.0,20190715.0,20190715.0,20190814.0,20190814.0,20190823.0,
2019,利奇馬颱風、0815豪雨、白鹿颱風,19,20190208.0,20190221.0,20190715.0,20190620.0,20190912.0,20190923.0,
2019,白鹿颱風,25,20190620.0,20190715.0,20190715.0,20190829.0,20190913.0,20190913.0,
2020,0521暨0528豪雨,23,20200221.0,20200505.0,20200515.0,20200604.0,20200604.0,20200712.0,
2021,0621豪雨,8,20210515.0,20210515.0,20210515.0,20210704.0,20210704.0,20210714.0,
2021,0731豪雨暨盧碧颱風,331,20210515.0,20210709.0,20210714.0,20210813.0,20210823.0,20210823.0,
2021,圓規颱風暨1013豪雨,41,20210709.0,20210907.0,20210922.0,20211015.0,20211106.0,20211116.0,
2021,彩雲颱風,20,20210515.0,20210515.0,20210515.0,20210614.0,20210709.0,20210714.0,
2021,烟花颱風,9,20210709.0,20210714.0,20210714.0,20210729.0,20210823.0,20210823.0,
2021,璨樹颱風,2,20210709.0,20210761.0,20210813.0,20210922.0,20210922.0,20210922.0,
2022,0323地震,3,20220311.0,20220311.0,20220311.0,20220331.0,20220425.0,20220425.0,
2022,0918地震,96,20220418.0,20220623.0,20220917.0,20220919.0,20220921.0,20220922.0,
2022,1007豪雨、尼莎颱風暨1022豪雨,58,20221002.0,20221002.0,20221002.0,20221026.0,20221027.0,20221111.0,
2022,1030豪雨,3,20221027.0,20221027.0,20221027.0,20221111.0,20221111.0,20221111.0,
2022,軒嵐諾暨梅花颱風,13,20220724.0,20220724.0,20220724.0,20220917.0,20220917.0,20220922.0,
2023,卡努颱風,1289,20230316.0,20230703.0,20230801.0,20230807.0,20230825.0,20230914.0,
2023,小犬颱風,23,20230914.0,20230914.0,20230914.0,20231019.0,20231119.0,20231124.0,
2023,杜蘇芮颱風,201,20230212.0,20230707.0,20230714.0,20230731.0,20230731.0,20230802.0,
2023,海葵颱風,581,20230704.0,20230714.0,20230828.0,20230912.0,20230912.0,20231002.0,
2024,0403花蓮地震,2641,20230724.0,20231215.0,20240912.0,20240403.0,20240429.0,20241230.0,
2024,0629豪雨,178,20240214.0,20240429.0,20240629.0,20240703.0,20240709.0,20241230.0,
2024,1023豪雨,7,20240802.0,20240802.0,20241006.0,20241026.0,20241026.0,20241027.0,
2024,1112豪雨,2,20241016.0,20241016.0,20241016.0,20241201.0,20241201.0,20241201.0,
2024,凱米颱風,2918,20240214.0,20240718.0,20240817.0,20240728.0,20240802.0,20250502.0,
2024,天兔颱風,2,20241019.0,20241019.0,20241019.0,20241126.0,20241126.0,20241126.0,
2024,山陀兒颱風,738,20240214.0,20240901.0,20240911.0,20240822.0,20241014.0,20250415.0,
2024,康芮颱風,1829,20240214.0,20240214.0,20241019.0,20240803.0,20241105.0,20250414.0,
2025,0121嘉義地震,29,20241220.0,20241220.0,20241220.0,20250121.0,20250210.0,20250210.0,
2025,0613豪雨,29,20250325.0,20250325.0,20250429.0,20250614.0,20250615.0,20251116.0,
2025,0728豪雨,1765,20250325.0,20250414.0,20250723.0,20250801.0,20250806.0,20260119.0,
2025,1020豪雨,11,20250325.0,20251012.0,20251012.0,20251107.0,20251107.0,20251123.0,
2025,丹娜絲颱風、薇帕颱風、0721豪雨,117,20250414.0,20250628.0,20250703.0,20250713.0,20250806.0,20251123.0,
2025,楊柳颱風,70,20250414.0,20250807.0,20250807.0,20250814.0,20250830.0,20251116.0,
2025,樺加沙颱風,636,20250325.0,20250325.0,20250921.0,20250925.0,20251007.0,20260119.0,
2025,鳳凰颱風,17,20250325.0,20250822.0,20251016.0,20251116.0,20251116.0,20251130.0,
