key,kind,x,y,TypeName
2018_6,case,283958.0,2609868.15,闊葉樹林型
2018_7,case,219668.7,2450304.35,闊葉樹林型
2018_8,case,219594.1,2450312.74,闊葉樹林型
2018_9,case,219407.26,2450065.78,闊葉樹林型
2018_10,case,219508.59,2450204.89,闊葉樹林型
2018_11,case,297921.23,2718243.83,闊葉樹林型
2018_12,case,253582.62,2541137.91,闊葉樹林型
2018_14,case,210059.07,2561970.72,闊葉樹林型
2018_15,case,222086.82,2561745.28,闊葉樹林型
2018_17,case,217764.17,2568996.34,闊葉樹林型
2018_18,case,217287.45,2569024.31,闊葉樹林型
2018_21,case,210483.59,2576742.98,竹闊混淆林
2018_23,case,212746.27,2579079.97,待成林地
2018_24,case,212373.99,2578925.82,闊葉樹林型
2018_25,case,212331.25,2578429.09,竹闊混淆林
2018_26,case,227738.44,2585340.82,闊葉樹林型
2018_27,case,212284.66,2591859.03,闊葉樹林型
2018_32,case,232945.99,2457978.19,闊葉樹林型
2018_33,case,232151.04,2473930.11,闊葉樹林型
2018_34,case,216312.54,2475525.76,闊葉樹林型
2018_35,case,214004.75,2488892.18,闊葉樹林型
2018_37,case,235468.04,2504830.26,闊葉樹林型
2018_38,case,187528.58,2515847.19,闊葉樹林型
2018_39,case,226379.18,2509007.21,闊葉樹林型
2018_40,case,244275.08,2515418.9,闊葉樹林型
2018_41,case,250584.52,2523157.68,闊葉樹林型
2018_45,case,211479.2,2534965.99,竹林
2018_46,case,210182.36,2540226.82,闊葉樹林型
2018_47,case,311576.41,2795217.97,闊葉樹林型
2018_51,case,274760.25,2693563.49,針闊葉樹混淆
2018_52,case,279260.16,2685670.2,闊葉樹林型
2018_53,case,270315.9,2678500.87,闊葉樹林型
2018_54,case,278791.27,2645758.79,針葉樹林型
2018_55,case,252773.36,2555862.84,闊葉樹林型
2018_57,case,246110.92,2552123.43,闊葉樹林型
2018_58,case,245982.8,2552173.43,闊葉樹林型
2018_59,case,249180.17,2535667.41,闊葉樹林型
2018_60,case,252637.21,2528413.05,闊葉樹林型
2018_61,case,247185.79,2530205.11,闊葉樹林型
2018_62,case,249215.34,2512165.73,闊葉樹林型
2018_64,case,252784.27,2556972.88,闊葉樹林型
2018_65,case,248579.57,2556309.86,闊葉樹林型
2018_66,case,247977.27,2554491.76,闊葉樹林型
2018_67,case,258299.52,2560649.73,闊葉樹林型
2018_68,case,264884.8,2560373.97,闊葉樹林型
2018_69,case,272827.29,2583550.8,闊葉樹林型
2018_70,case,256407.43,2582265.67,闊葉樹林型
2018_71,case,275093.41,2634538.16,針葉樹林型
2018_72,case,282934.86,2659975.93,闊葉樹林型
2019_0,case,270101.04,2582758.12,闊葉樹林型
2019_2,case,245665.92,2582198.89,闊葉樹林型
2019_3,case,248744.43,2579816.34,闊葉樹林型
2019_5,case,262082.24,2570980.26,闊葉樹林型
2019_6,case,272162.78,2569393.44,待成林地
2019_7,case,255854.82,2547764.76,闊葉樹林型
2019_9,case,240140.68,2532749.33,闊葉樹林型
2019_10,case,238082.75,2528446.86,闊葉樹林型
2019_11,case,243504.63,2529038.36,針闊葉樹混淆
2019_12,case,243787.9,2527747.92,闊葉樹林型
2019_13,case,281895.43,2727704.03,竹林
2019_14,case,275653.47,2665432.4,闊葉樹林型
2019_15,case,219246.96,2558579.52,闊葉樹林型
2019_19,case,285714.34,2660542.66,闊葉樹林型
2019_20,case,270408.58,2586515.05,闊葉樹林型
2019_21,case,293229.22,2659960.65,闊葉樹林型
2019_22,case,280427.16,2633824.43,闊葉樹林型
2019_23,case,234172.1,2576450.4,闊葉樹林型
2019_25,case,259227.02,2557152.39,闊葉樹林型
2019_26,case,250910.69,2556707.03,闊葉樹林型
2019_27,case,250899.07,2556991.34,闊葉樹林型
2019_28,case,235882.71,2556309.24,闊葉樹林型
2019_29,case,243898.94,2550491.22,針葉樹林型
2019_30,case,225850.96,2527764.55,闊葉樹林型
2019_31,case,235331.48,2528210.18,針葉樹林型
2019_32,case,235825.88,2528447.21,針闊葉樹混淆
2019_33,case,237326.27,2529044.38,闊葉樹林型
2019_34,case,244237.02,2529443.41,針葉樹林型
2019_35,case,242540.0,2524764.16,闊葉樹林型
2019_36,case,244705.14,2613622.16,針闊葉樹混淆
2019_37,case,253954.33,2642063.78,闊葉樹林型
2019_38,case,236660.58,2616675.65,闊葉樹林型
2019_39,case,243339.72,2529062.22,針闊葉樹混淆
2019_40,case,275674.5,2666486.27,闊葉樹林型
2019_42,case,266610.86,2649465.97,闊葉樹林型
