lid,event,ft,slope,x,y,total,max24,max72,map_mm,annmax_mm
2018_6,瑪莉亞颱風,闊葉樹林型,48.13976949528136,283958.0,2609868.15,32.10499954223633,32.10499954223633,32.10499954223633,2298.92041015625,137.5152587890625
2018_7,0823熱帶低壓,闊葉樹林型,23.893396656492648,219668.7,2450304.35,615.8200073242188,128.875,312.0050048828125,2724.057861328125,155.72097778320312
2018_8,0823熱帶低壓,闊葉樹林型,35.28126182726603,219594.1,2450312.74,615.8200073242188,128.875,312.0050048828125,2724.057861328125,155.72097778320312
2018_9,0823熱帶低壓,闊葉樹林型,14.103462835639398,219407.26,2450065.78,615.8200073242188,128.875,312.0050048828125,2636.051513671875,156.58033752441406
2018_10,0823熱帶低壓,闊葉樹林型,30.985684296843363,219508.59,2450204.89,615.8200073242188,128.875,312.0050048828125,2636.051513671875,156.58033752441406
2018_11,0823熱帶低壓,闊葉樹林型,49.05111016553776,297921.23,2718243.83,43.1349983215332,18.225000381469727,31.35999870300293,2200.2421875,149.63926696777344
2018_12,0823熱帶低壓,闊葉樹林型,41.59751679121417,253582.62,2541137.91,505.03997802734375,172.88499450683594,278.8299865722656,2634.057861328125,132.86244201660156
2018_14,0823熱帶低壓,闊葉樹林型,39.84215955425675,210059.07,2561970.72,555.260009765625,239.9399871826172,291.41998291015625,2595.341064453125,162.25697326660156
2018_15,0823熱帶低壓,闊葉樹林型,46.53438273346463,222086.82,2561745.28,485.8999938964844,209.02999877929688,253.76998901367188,2787.701904296875,169.62338256835938
2018_17,0823熱帶低壓,闊葉樹林型,24.52281262777141,217764.17,2568996.34,496.4499816894531,225.71499633789062,265.79498291015625,2736.55712890625,170.5413360595703
2018_18,0823熱帶低壓,闊葉樹林型,36.51456867399333,217287.45,2569024.31,496.4499816894531,225.71499633789062,265.79498291015625,2736.55712890625,170.5413360595703
2018_24,0823熱帶低壓,闊葉樹林型,38.903551214305885,212373.99,2578925.82,473.35498046875,209.48500061035156,250.75498962402344,2336.316650390625,150.14096069335938
2018_26,0823熱帶低壓,闊葉樹林型,35.29811642184922,227738.44,2585340.82,451.0149841308594,194.85499572753906,236.72000122070312,2655.336669921875,149.27206420898438
2018_27,0823熱帶低壓,闊葉樹林型,33.197229942878394,212284.66,2591859.03,429.6999816894531,189.73500061035156,220.83499145507812,2643.5244140625,148.5769500732422
2018_32,0823熱帶低壓,闊葉樹林型,14.434094830851231,232945.99,2457978.19,634.6549682617188,149.8249969482422,313.2049865722656,2511.745849609375,145.3084259033203
2018_33,0823熱帶低壓,闊葉樹林型,44.53600944536456,232151.04,2473930.11,605.1699829101562,148.58499145507812,304.93499755859375,2379.845458984375,135.04287719726562
2018_34,0823熱帶低壓,闊葉樹林型,51.00600743245538,216312.54,2475525.76,643.4749755859375,167.4499969482422,300.625,2970.405029296875,168.360595703125
2018_35,0823熱帶低壓,闊葉樹林型,46.242226022013895,214004.75,2488892.18,604.1549682617188,175.26499938964844,305.78997802734375,3161.35009765625,181.48779296875
2018_37,0823熱帶低壓,闊葉樹林型,38.78215347624,235468.04,2504830.26,551.239990234375,161.52999877929688,298.8500061035156,2563.135009765625,133.9579620361328
2018_38,0823熱帶低壓,闊葉樹林型,32.02597107856493,187528.58,2515847.19,572.1499633789062,179.05499267578125,285.6000061035156,2018.1337890625,128.9523162841797
2018_39,0823熱帶低壓,闊葉樹林型,42.5163425625201,226379.18,2509007.21,531.1799926757812,153.6949920654297,280.0799865722656,3247.296630859375,172.06101989746094
2018_40,0823熱帶低壓,闊葉樹林型,55.77194256223351,244275.08,2515418.9,527.60498046875,162.72999572753906,291.78997802734375,2659.226318359375,138.2041473388672
2018_41,0823熱帶低壓,闊葉樹林型,37.42543512676668,250584.52,2523157.68,507.9749755859375,168.18499755859375,286.1499938964844,2407.536376953125,128.34336853027344
2018_45,0823熱帶低壓,竹林,24.65223572323068,211479.2,2534965.99,519.9550170898438,199.39498901367188,256.05499267578125,2656.133544921875,170.91372680664062
2018_46,0823熱帶低壓,闊葉樹林型,39.50971228619393,210182.36,2540226.82,519.9550170898438,199.39498901367188,256.05499267578125,2710.6376953125,174.08975219726562
2018_47,0909熱帶低壓,闊葉樹林型,13.342363797088236,311576.41,2795217.97,154.37998962402344,101.75,152.25498962402344,1646.6932373046875,125.98481750488281
2018_52,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,47.10090264184485,279260.16,2685670.2,235.96749877929688,61.01499938964844,65.05999755859375,2442.231689453125,136.23085021972656
2018_53,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,41.56364135798625,270315.9,2678500.87,274.9604797363281,60.119998931884766,80.72000122070312,2394.2109375,159.887451171875
2018_55,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,34.99202019855866,252773.36,2555862.84,337.5199890136719,82.28499603271484,117.42499542236328,1921.8065185546875,106.97059631347656
2018_57,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,56.2841929881041,246110.92,2552123.43,353.20050048828125,96.04999542236328,131.239990234375,2037.9127197265625,106.47775268554688
2018_58,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,57.64307398669554,245982.8,2552173.43,353.20050048828125,96.04999542236328,131.239990234375,2037.9127197265625,106.47775268554688
2018_59,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,51.94046637738488,249180.17,2535667.41,339.7044982910156,108.81999969482422,134.55499267578125,2796.07373046875,138.0121612548828
2018_60,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,37.90505895833579,252637.21,2528413.05,352.72198486328125,119.18499755859375,137.19000244140625,2545.30322265625,132.95693969726562
2018_61,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,39.14355704978305,247185.79,2530205.11,374.3184814453125,124.125,139.28500366210938,2691.63232421875,130.44161987304688
2018_62,0613暨0619豪雨暨瑪莉亞颱風,闊葉樹林型,49.85365752782776,249215.34,2512165.73,391.4329833984375,130.4499969482422,147.75999450683594,2227.70556640625,122.15391540527344
2018_64,0909熱帶低壓暨山竹颱風,闊葉樹林型,43.57077227020226,252784.27,2556972.88,166.23500061035156,120.125,144.68499755859375,1921.8065185546875,106.97059631347656
2018_65,0909熱帶低壓暨山竹颱風,闊葉樹林型,38.11835994667712,248579.57,2556309.86,151.48500061035156,108.43000030517578,132.73500061035156,2213.29150390625,120.28736877441406
2018_66,0909熱帶低壓暨山竹颱風,闊葉樹林型,42.59042663590696,247977.27,2554491.76,141.58499145507812,97.46499633789062,119.83999633789062,2037.9127197265625,106.47775268554688
